Sample	TYPE	N_READS	Estimated_Coverage
E-RWD-4-	PAIRED	18460548	55.3964
E-RWD-41	PAIRED	25108584	73.2969
E-RWD-43	PAIRED	18537714	52.391
E-TZA-21-	PAIRED	16819838	45.0306
E-TZA-22-	PAIRED	19649122	51.4082
E-TZA-25	PAIRED	15887098	41.7236
E-TZA-69	PAIRED	23343692	60.719
E-TZA-70	PAIRED	22915022	59.6673
E-TZN-22	PAIRED	23407878	64.7556
E-TZN-24	PAIRED	20500934	55.0431
E-TZN-27	PAIRED	19719078	55.7785
E-UGA-34	PAIRED	25178624	59.0289
E-UGD-32	PAIRED	21114108	62.041
E-UGD-36	PAIRED	23912434	69.1868
E-UGD-47	PAIRED	20269052	52.3736
E-UGD-49	PAIRED	21440488	62.835
FJ0204804	PAIRED	17840566	34.8009
FJ11SH-527-1	PAIRED	16443514	31.7695
FJ11YD-673-1	PAIRED	12965744	25.1891
FJ12JN-084-3	PAIRED	22513388	43.8606
FJ13SH05-2	PAIRED	12811336	24.9592
FJ2000-62A	PAIRED	17368400	33.3691
FJ2000-69A	PAIRED	15195624	29.4223
FJ2001-112B	PAIRED	18808502	35.2253
FJ2003-001A1	PAIRED	16337180	31.7944
FJ2005113B	PAIRED	17372936	33.2418
FJ2006-60A3	PAIRED	17317980	33.8116
FJ43ZB15-68	PAIRED	14055978	27.3356
FJ72ZC7-77	PAIRED	14935766	29.1735
FJ78-JJ	PAIRED	15721156	41.4353
FJ81221ZB11-14	PAIRED	14930016	45.6133
FJ81-JY	PAIRED	17181918	45.0493
FJ81-MH	PAIRED	16942032	44.6085
FJ81-SW	PAIRED	17463864	45.521
FJ81-ZP	PAIRED	15703128	41.9566
FJ86061ZE3-39	PAIRED	14594686	44.0607
FJ86-CT	PAIRED	17137700	45.073
FJ95054B	PAIRED	15042326	28.8092
FJ95085AZB13-116	PAIRED	17069056	32.6398
FJ98099	PAIRED	15791458	30.1878
FJ99138	PAIRED	17298896	34.4383
FJSH0703	PAIRED	16412330	31.7993
FR1069	PAIRED	34613642	89.995
FR13	PAIRED	2737362	1.01686
G17	PAIRED	39174876	74.1525
GD-05-029b	PAIRED	15551910	30.5555
GD06-53	PAIRED	19418286	58.8371
GD08-2025	PAIRED	19800566	59.5776
GE10A2	PAIRED	17425680	51.4524
GE12B	PAIRED	17088288	50.9459
GE16_2	PAIRED	25384364	71.5179
GE3	PAIRED	19710998	57.123
GLHN3	PAIRED	23291212	46.2586
GLHN4	PAIRED	26296990	52.1057
GN0001	PAIRED	24499330	68.4928
GR1067	PAIRED	30361116	80.6214
Guy11	PAIRED	25855918	117.054
GUY-56	PAIRED	24090172	132.204
GY0040	PAIRED	20595970	58.6107
H08-1a	PAIRED	32378928	90.8326
H08-1c	PAIRED	16331402	49.0876
HB-14	PAIRED	19337414	55.5491
HB-LTH18	PAIRED	15583838	30.3092
HN0001	SINGLE	22971581	45.176
HN-0812-3	PAIRED	15028204	29.3526
HN10-1604	PAIRED	27633482	79.2084
HN-158	PAIRED	21288378	63.2729
IN0017	PAIRED	13264174	39.4296
IN0054	PAIRED	24653714	70.4119
IN0059	PAIRED	11100134	33.8935
IN0072	SINGLE	26727434	52.8725
IN0082	SINGLE	19430296	37.0496
IN0094	SINGLE	24709495	48.614
IN0114	PAIRED	23585178	68.96
IN0115	PAIRED	26343660	75.3312
