Sample	Estimated_Coverage
NP0061	8.06404
P29	56.7951
PgKY4OV2.1	60.1272
PgPA18C-02	76.9278
PH0103	21.4986
PH0118	58.2339
PK1	5.76614
PR0009	32.0611
PR003	16.0934
PY0925	91.6215
PY1	5.43254
PY25.1	49.4532
PY3	5.85339
PY35.3	154.83
PY36.1	42.7954
PY5002	28.6782
PY5003	41.5869
PY5010	56.4793
PY5033	42.0772
PY5035	73.259
PY6017	39.3957
PY6025	31.2278
PY6045	80.2664
PY6047	30.575
PY86.1	33.4465
PYB2	5.38255
PYB3	5.98151
SA05-144	34.1071
SA05-43	25.6868
San_Andrea	18.2931
Sar-2-20-1	45.1302
Sar-AD3-5	24.601
SC-10-120-65-2	39.223
SC-10-25-44-1	40.6644
SP0005	50.6
SV9610	28.3025
SV9623	27.2128
T25	109.327
TG0004	47.762
TG0032	65.7787
TG004	41.7713
TH0014	13.9504
TH0017	12.3786
TH3	16.0602
TN0001	53.9501
TN0002	64.3229
TN0050	66.7733
TN0057	68.9894
TN0090	65.6112
TR0025	81.9233
TW-1-1-1-B-1	41.1354
TW-12CY-TB1-2	44.053
TW-12HL-DF1-2	43.0353
TW-12HL-YL2-1	39.2475
TW-12TD-RH1-1	45.9935
TW-12TN-HB2-2	46.4754
TW-12YL-DL3-2	32.566
TW-12YL-DP1-1	34.4947
TW-12YL-TT4-1	33.0741
TW-2-7-2-A-1	43.5177
TW-6-2-2-B-1	45.6822
TW-6-43-1	50.5637
TW-CYBP1-3	50.9514
TW-PT1-1	39.2084
TW-PT3-1	45.9199
TW-PT6-1	38.1962
TW-TN4-2	46.9071
TZ090	56.0263
UG08	71.2274
US0031	55.8653
US0041	47.8714
US0064	79.2694
US0098	42.8806
US71	64.1804
VO104	46.8378
VO108	51.6509
VO113	54.7878
VT0027	44.0262
VT0030	55.4467
W-BEN-11	46.9591
W-BEN-12	49.0099
W-BEN-12-	62.024
W-BEN-9	46.5673
W-BFA-16-	53.5978
W-BKF-15	53.5248
W-BKF-15-	56.0208
W-BKF-16	66.0526
WD-3-1_1	74.4442
W-GHA-7	48.6928
W-GHA-7-	47.2077
W-MAL-17	53.1719
W-MAL-18	57.137
W-NGR-13	51.8591
W-NGR-14	54.7446
W-NGR-58	69.7411
W-NGR-59	60.9478
W-TOG-5	59.1629
W-TOG-5-	47.7586
W-TOG-6	54.3285
YN07205e	70.8857
YN072310	67.1081
YN072311	74.7898
YN072313	62.2559
YN08181e	59.6781
YN08182c	58.4375
YN126311	67.944
YN126441	55.2539
YN8773-19	49.4741
YN8773R-27	42.0146
ZJ00-10	54.8011
ZJ08-41	58.8997
ZJ2011-7-1	38.4536
ZMW18_06	61.5244
ZMW18_08	64.5856
ZMW18_10	63.759
ZMW18_11	61.7139
ZMW19_09	63.5864
ZMW19_13	58.7993
ZMW19_17	69.2112
ZMW20_03	54.8197
ZMW20_04	55.3906
ZMW20_07	61.2278
ZMW20_14	55.1324
ZMW20_15	60.4356
ZMW20_16	57.2064
